English,Russian
Marcellus,Марселлус
Olaf,Олаф
Olin,Олин
Pablo,Пабло
Rolland,Ролланд
Turner,Тёрнер
Verne,Верн
Volney,Волни
Williams,Уильямс
Almon,Алмон
Alois,Алоис
Alonza,Алонза
Anson,Ансон
Authur,Артур
Benton,Бентон
Billie,Билли
Cornelious,Корнелиус
Darius,Дариус
Denis,Денис
Dillard,Диллард
Doctor,Доктор
Elvin,Элвин
Emma,Эмма
Eric,Эрик
Evans,Эванс
Gideon,Гидеон
Haywood,Хейвуд
Hilliard,Хильярд
Hosea,Хошеа
Lincoln,Линкольн
Lonzo,Лонзо
Lucious,Люциус
Lum,Лам
Malachi,Малахи
Newt,Ньют
Noel,Ноэл
Orie,Ори
Palmer,Палмер
Pinkney,Пинкни
Shirley,Ширли
Sumner,Самнер
Terry,Терри
Urban,Урбан
Uriah,Урия
Valentine,Валентин
Waldo,Уолдо
Warner,Уорнер
Wong,Вонг
Zeb,Зеб
Abel,Абель
Alden,Олден
Archer,Арчер
Avery,Эвери
Carson,Карсон
Cullen,Каллен
Doc,Док
Eben,Эбен
Elige,Элидж
Elizabeth,Элизабет
Elmore,Элмор
Ernst,Эрнст
Finis,Финис
Freddie,Фредди
Godfrey,Годфри
Guss,Гас
Hamp,Хэмп
Hermann,Герман
Isadore,Исадор
Isreal,Израэль
Jones,Джонс
June,Джун
Lacy,Лейси
Lafe,Лэйф
Leland,Лилэнд
Llewellyn,Льюэллин
Ludwig,Людвиг
Manford,Мэнфорд
Maxwell,Максвелл
Minnie,Минни
Obie,Оби
Octave,Октав
Orrin,Оррин
Ossie,Осси
Oswald,Освальд
Park,Парк
Parley,Парли
Ramon,Рамон
Rice,Рис
Stonewall,Стонуолл
Theo,Тео
Tillman,Тиллман
Addie,Эдди
Aron,Арон
Ashley,Эшли
Bernhard,Бернхард
Bertie,Берти
Berton,Бёртон
Buster,Бастер
Butler,Батлер
Carleton,Карлтон
Carrie,Кэрри
Clara,Клара
Clarance,Кларенс
Clare,Клэр
Crawford,Кроуфорд
Danial,Даниэль
Dayton,Дейтон
Dolphus,Долфус
Elder,Элдер
Ephriam,Эфраим
Fayette,Файетт
Felipe,Фелипе
Fernando,Фернандо
Flem,Флем
Florence,Флоренс
Ford,Форд
Harlan,Харлан
Hayes,Хейс
Henery,Хенри
Hoy,Хой
Huston,Хьюстон
Ida,Айда
Ivory,Айвори
Jonah,Джона
Justin,Джастин
Lenard,Ленард
Leopold,Леопольд
Lionel,Лионель
Manley,Мэнли
Marquis,Маркиз
Marshal,Маршал
Mart,Март
Odie,Оди
Olen,Олен
Oral,Орал
Orley,Орли
Otha,Ота
Press,Пресс
Price,Прайс
Quincy,Квинси
Randall,Рэндалл
Rich,Рич
Richmond,Ричмонд
Romeo,Ромео
Russel,Рассел
Rutherford,Резерфорд
Shade,Шейд
Shelby,Шелби
Solon,Солон
Thurman,Турман
Tilden,Тилден
Troy,Трой
Woodson,Вудсон
Worth,Уорт
Aden,Аден
Alcide,Альсид
Alf,Альф
Algie,Алги
Arlie,Арли
Bart,Барт
Bedford,Бедфорд
Benito,Бенито
Billy,Билли
Bird,Бёрд
Birt,Бёрт
Bruno,Бруно
Burley,Бёрли
Chancy,Ченси
Claus,Клаус
Cliff,Клифф
Clovis,Кловиш
Connie,Конни
Creed,Крид
Delos,Делос
Duke,Дюк
Eber,Эбер
Eligah,Элиджа
Elliot,Эллиот
Elton,Элтон
Emmitt,Эммит
Gene,Джин
Golden,Голден
Hal,Хэл
Hardin,Хардин
Harman,Харман
Hervey,Херви
Hollis,Холлис
Ivey,Айви
Jennie,Дженни
Len,Лен
Lindsay,Линдси
Lonie,Лони
Lyle,Лайл
Mac,Мак
Mal,Мал
Math,Мэт
Miller,Миллер
Orson,Орсон
Osborne,Осборн
Percival,Персиваль
Pleas,Плиз
Ples,Плез
Rafael,Рафаэль
Raoul,Рауль
Roderick,Родерик
Rose,Роуз
Shelton,Шелтон
Sid,Сид
Theron,Терон
Tobias,Тобиас
Toney,Тони
Tyler,Тайлер
Vance,Вэнс
Vivian,Вивиан
Walton,Уолтон
Watt,Уотт
Weaver,Уивер
Wilton,Уилтон
Adolf,Адольф
Albin,Альбин
Albion,Альбион
Allison,Эллисон
Alpha,Альфа
Alpheus,Альфеус
Anastacio,Анастасио
Andre,Андре
Annie,Энни
Arlington,Арлингтон
Armand,Арманд
Asberry,Асберри
Asbury,Асбери
Asher,Ашер
Augustin,Августин
Auther,Артур
Author,Автор
Ballard,Баллард
Blas,Блас
Caesar,Цезарь
Candido,Кандидо
Candido,Кандидо
Cato,Катон
Cato,Катон
Clarke,Кларк
Clemente,Клементе
Colin,Колин
Commodore,Коммодор
Cora,Кора
Coy,Кой
Cruz,Круз
Curt,Кёрт
Damon,Дэймон
Davie,Дэви
Delmar,Дельмар
Dexter,Декстер
Dora,Дора
Doss,Досс
Drew,Дрю
Edson,Эдсон
Elam,Элам
Elihu,Элайху
Eliza,Элиза
Elsie,Элси
Erie,Эри
Ernie,Эрни
Ethel,Этель
Ferd,Ферд
Friend,Френд
Garry,Гарри
Gary,Гэри
Grace,Грейс
Gustaf,Густав
Hallie,Хэлли
Hampton,Хэмптон
Harrie,Харри
Hattie,Хэтти
Hence,Хэнс
Hillard,Хильярд
Hollie,Холли
Holmes,Холмс
Hope,Хоуп
Hyman,Хайман
Ishmael,Ишмаэль
Jarrett,Джарретт
Jessee,Джесси
Joeseph,Джозеф
Junious,Джуниус
Kirk,Кирк
Levy,Леви
Mervin,Мервин
Michel,Мишель
Milford,Милфорд
Mitchel,Митчелл
Nellie,Нелли
Noble,Нобл
Obed,Обед
Oda,Ода
Orren,Оррен
Ottis,Отис
Rafe,Рэйф
Redden,Редден
Reese,Рис
Rube,Руб
Ruby,Руби
Rupert,Руперт
Salomon,Саломон
Sammie,Сэмми
Sanders,Сандерс
Soloman,Соломон
Stacy,Стэйси
Stanford,Стэнфорд
Stanton,Стэнтон
Thad,Тад
Titus,Титус
Tracy,Трэйси
Vernie,Верни
Wendell,Венделл
Wilhelm,Вильгельм
Willian,Уильям
Yee,Йи
Zeke,Зик
Ab,Эбб
Abbott,Эбботт
Agustus,Агустус
Albertus,Альбертус
Almer,Алмер
Alphonso,Альфонсо
Alvia,Альвия
Artie,Арти
Arvid,Арвид
Ashby,Эшби
Augusta,Августа
Aurthur,Артур
Babe,Бэйб
Baldwin,Болдуин
Barnett,Барнетт
Bartholomew,Бартоломью
Barton,Бартон
Bernie,Берни
Blaine,Блэйн
Boston,Бостон
Brad,Брэд
Bradford,Брэдфорд
Bradley,Брэдли
Brooks,Брукс
Buck,Бак
Budd,Бадд
Ceylon,Цейлон
Chalmers,Чалмерс
Chesley,Чеслей
Chin,Чин
Cleo,Клео
Crockett,Крокетт
Cyril,Сирил
Daisy,Дэйзи
Denver,Денвер
Dow,Дау
Duff,Дафф
Edie,Эди
Edith,Эдит
Elick,Элик
Elie,Эли
Eliga,Элига
Eliseo,Элизео
Elroy,Элрой
Ely,Или
Ennis,Эннис
Enrique,Энрике
Erasmus,Эразмус
Esau,Исав
Everette,Эверетт
Firman,Фирман
Fleming,Флеминг
Flora,Флора
Gardner,Гарднер
Gee,Джи
Gorge,Джордж
Gottlieb,Готлиб
Gregorio,Грегорио
Gregory,Грегори
Gustavus,Густавус
Halsey,Холси
Handy,Хэнди
Hardie,Харди
Harl,Харл
Hayden,Хэйден
Hays,Хэйс
Hermon,Хермон
Hershel,Хершел
Holly,Холли
Hosteen,Хостин
Hoyt,Хойт
Hudson,Хадсон
Huey,Хьюи
Humphrey,Хамфри
Hunt,Хант
Hyrum,Хайрум
Irven,Ирвин
Isam,Айсем
Ivy,Айви
Jabez,Джабез
Jewel,Джуэл
Jodie,Джоди
Judd,Джадд
Julious,Джулиус
Justice,Джастис
Katherine,Кэтрин
Kelly,Келли
Kit,Кит
Knute,Кнут
Lavern,Лаверн
Lawyer,Лойер
Layton,Лэйтон
Brown,Браун
Newell,Ньюэлл
Carter,Картер
Lucas,Лукас
Ransom,Рэнсом
Bee,Би
Meyer,Майер
Paris,Париж
Byrd,Бёрд
Deforest,Дефорест
Dolph,Дольф
Harper,Харпер
Jule,Джул
Lambert,Ламберт
Margaret,Маргарет
Ocie,Оси
Orange,Орандж
Reece,Рис
Roe,Роу
Ambers,Амберс
Bessie,Бесси
Collins,Коллинз
Elbridge,Элбридж
Eldon,Элдон
Elvis,Элвис
Gaston,Гастон
Guadalupe,Гваделупе
Hartwell,Хартвелл
Knox,Нокс
Lue,Лу
Manning,Мэннинг
Ola,Ола
Reed,Рид
Sampson,Сэмпсон
Samual,Самуэль
Thos,Томас
Todd,Тодд
Tommy,Томми
Unknown,Неизвестно
Wirt,Вёрт
Woodie,Вуди
Alice,Элис
Alvis,Алвис
Ammon,Аммон
Boss,Босс
Cas,Кас
Cass,Кас
Chalmer,Чалмер
Denton,Дентон
Elsworth,Элсворт
Erving,Эрвинг
Fredric,Фредерик
Furman,Фурман
Helen,Хелен
Pearlie,Перли
Plummer,Пламмер
Presley,Пресли
Rollo,Ролло
Roswell,Розуэлл
Ruffus,Рафус
Sheldon,Шелдон
Tilman,Тилман
York,Йорк
Acie,Эйси
Alfonso,Альфонсо
Ashton,Эштон
Burke,Бёрк
Cap,Кэп
Casimiro,Казимир
Collie,Колли
Curley,Кёрли
Dale,Дэйл
Dixon,Диксон
Dominick,Доминик
Garret,Гаррет
Gerrit,Геррит
Griffin,Гриффин
Hall,Холл
Heber,Хибер
Hurley,Хёрли
Isidore,Исидор
Lorenza,Лоренза
Marian,Мариан
Maud,Мод
Maude,Мод
Murphy,Мёрфи
Obe,Оби
Orla,Орла
Orlo,Орло
Orrie,Орри
Sebastian,Себастьян
Starling,Старлинг
Tolbert,Толберт
Whit,Уит
Adrien,Адриен
Alto,Альто
Angelo,Анджело
Antone,Антон
Arden,Арден
Atticus,Аттикус
Belton,Белтон
Bertha,Берта
Blair,Блэр
Burrell,Бёррелл
Callie,Кэлли
Campbell,Кэмпбелл
Champ,Чэмп
Coley,Коли
Conway,Конвей
Craig,Крейг
Dalton,Далтон
Darrell,Даррелл
Darwin,Дарвин
Dennie,Денни
Ebb,Эбб
Ebbie,Эбби
Edna,Эдна
Ellison,Эллисон
Elonzo,Элонзо
Emit,Эмит
Emry,Эмри
Ephram,Эфрам
Esequiel,Эсекьель
Essie,Эсси
Esta,Эста
Evertt,Эверетт
Garner,Гарнер
Garnett,Гарнетт
Graham,Грэм
Gregg,Грегг
Halbert,Хэлберт
Harvie,Харви
Harvy,Харви
Hubbard,Хаббард
Jared,Джаред
Jere,Джере
Joesph,Джозеф
Johnathan,Джонатан
Juluis,Джулиус
Kirby,Кирби
Kyle,Каил
Lane,Лэйн
Lawerence,Лоуренс
Less,Лесс
Linwood,Линвуд
Louise,Луиза
Lowell,Лоуэлл
Loy,Лой
Lucy,Люси
Manly,Мэнли
Mannie,Мэнни
Marcel,Марсель
Marius,Мариус
Marrion,Марион
Mercer,Мерсер
Monte,Монти
Montgomery,Монтгомери
Nolan,Нолан
Okey,Оки
Page,Пейдж
Philo,Фило
Primus,Примус
Prosper,Проспер
Pryor,Прайор
Rene,Рене
Robin,Робин
Roll,Ролл
Seward,Сьюард
Shannon,Шэннон
Talmage,Толмедж
Vaughn,Вон
Verner,Вернер
Waverly,Уэверли
Weldon,Уэлдон
Wells,Уэллс
Wiliam,Уильям
Wing,Уинг
Wood,Вуд
Wright,Райт
Add,Эдд
Adelard,Аделард
Cleve,Клив
Linus,Лайнус
Martha,Марта
Reinhold,Рейнхольд
Junior,Джуниор
Ace,Эйс
Armstead,Армстед
Benedict,Бенедикт
Brice,Брайс
Gibson,Гибсон
May,Мэй
Mills,Миллс
Adolfo,Адольфо
Alanzo,Аланзо
Antoine,Антуан
Ethan,Итан
Eustace,Юстас
Ewing,Юинг
Fernand,Фернан
Fisher,Фишер
Gail,Гейл
Harland,Харланд
Hilary,Хилари
Hosie,Хози
Lemon,Лемон
Lora,Лора
Marsh,Марш
Newman,Ньюман
Nickolas,Николас
Olie,Оли
Pearley,Перли
Roman,Роман
Rome,Рим
Rowland,Роуланд
Shelly,Шелли
Vicente,Висенте
Weston,Уэстон
Alan,Алан
Alberto,Альберто
Alexis,Алексис
Auguste,Огюст
Bascom,Бэском
Cameron,Кэмерон
Camille,Камиль
Clabe,Клэйб
Cooper,Купер
Domingo,Доминго
Elwin,Элвин
Emilio,Эмилио
French,Френч
Gerhard,Герхард
Hansford,Хэнсфорд
Jarvis,Джарвис
Jobe,Джоб
Josephus,Джозефус
Landon,Лэндон
Lennie,Ленни
Leonidas,Леонидас
Lesley,Лесли
Lillian,Лилиан
Linn,Линн
Littleton,Литтлтон
Lone,Лон
Margarito,Маргарито
Mattie,Мэтти
Melton,Мелтон
Ott,Отт
Randle,Рэндалл
Seaborn,Сиборн
Severt,Северт
Steward,Стюард
Sylvanus,Сильванус
Theadore,Теодор
Theophile,Теофил
Vester,Вестер
Wenzel,Венцель
Alby,Алби
Alcee,Алси
Almond,Алмонд
Alvy,Алви
Amon,Амон
Ansel,Ансел
Bayard,Байард
Benny,Бенни
Bluford,Блуфорд
Booker,Букер
Burnett,Бёрнетт
Burney,Бёрни
Caswell,Касвелл
Claudie,Клоди
Conley,Конли
Cortez,Кортез
Dionicio,Дионисио
Donnie,Донни
Eldred,Элдред
Ell,Элл
Ellery,Эллери
Ellwood,Элвуд
Elva,Эльва
Emmit,Эммит
Erle,Эрл
Essex,Эссекс
Ewell,Эвелл
Ewin,Эвин
Fabian,Фабиан
Florencio,Флоренсио
Fremont,Фримонт
Gaines,Гейнс
Garnet,Гарнет
Gaylord,Гейлорд
German,Джерман
Greene,Грин
Brady,Брэди
Festus,Фестус
Jewell,Джуэл
Odell,Оделл
Rosco,Роско
Bernice,Бернис
Chauncy,Чонси
Delmer,Дельмер
Effie,Эффи
Ellie,Элли
Jimmy,Джимми
Lars,Ларс
Milas,Майлас
Miner,Майнер
Rogers,Роджерс
Sarah,Сара
Wess,Весс
Woody,Вуди
Bryan,Брайан
Douglass,Дуглас
Hilton,Хилтон
Irvine,Ирвин
Isidor,Исидор
Jeptha,Джефта
Mabel,Мэйбл
Malcom,Мальком
Mell,Мелл
Olof,Олоф
Robt,Роберт
Ronald,Рональд
Simpson,Симпсон
Spurgeon,Сперджон
Tandy,Тэнди
Thurlow,Тёрлоу
Toy,Той
Winston,Уинстон
Zeno,Зено
Alphonsus,Альфонсус
Alvan,Алван
Amado,Амадо
Ananias,Анания
Ancel,Ансел
Atlas,Атлас
Banks,Бэнкс
Barry,Барри
Blake,Блейк
Blanchard,Бланшар
Bose,Боуз
Captain,Капитан
Ceasar,Цезарь
Chance,Чанс
Chancey,Чанси
Charle,Чарльз
Clide,Клайд
Dink,Динк
Ella,Элла
Emett,Эмметт
Erick,Эрик
Estill,Эстилл
Fenton,Фентон
Gale,Гейл
Gay,Гей
Grove,Гров
Hanson,Хэнсон
Harlie,Харли
Harlow,Харлоу
Haskell,Хаскелл
Ingram,Ингрэм
Iva,Айва
Jep,Джеп
Joy,Джой
Lessie,Лесси
Lillie,Лили
Linton,Линтон
Linzy,Линзи
Little,Литтл
Loney,Лони
Loring,Лоринг
Lovie,Лови
Lute,Лют
Mace,Мэйс
Matthias,Маттиас
Meredith,Мередит
Benjamen,Бенджамин
Jens,Дженс
Oakley,Окли
Whitney,Уитни
Donaciano,Донасиано
Hayward,Хейворд
Loran,Лоран
Love,Лав
Son,Сон
Tollie,Толли
Vollie,Волли
Bonnie,Бонни
Catherine,Кэтрин
Ebenezer,Эбенезер
Ewald,Эвальд
Herb,Херб
Julia,Джулия
Silvester,Сильвестр
Stafford,Стаффорд
Sullivan,Салливан
Thurston,Тёрстон
Wayman,Уэйман
Wes,Уэс
Winnie,Винни
Burrel,Бёррел
Cleon,Клеон
Dozier,Дозье
Elden,Элден
Fulton,Фултон
Helmer,Хельмер
Hill,Хилл
Hjalmer,Хьялмер
Ignatz,Игнац
Kelley,Келли
Marlin,Марлин
Moody,Муди
Myrtle,Мёртл
Namon,Намон
Odin,Один
Odis,Одис
Oley,Оли
Osborn,Осборн
Osie,Ози
Prentice,Прентис
Purl,Перл
Roby,Роби
Shep,Шеп
Simmie,Симми
Stanislaus,Станислав
Vander,Вандер
Zollie,Золли
Abb,Эбб
Ah,Ах
